group,month_year,employees,A,B,C,D,E,F,G,H,I,J,L,N,O
0.,2020-01,257,268449,74941,39350,0,1581,955,7923,11049,34896,0,0,0,0
1.1.,2020-01,1010,1863150,563608,141770,29607,13525,4438,55207,46835,132835,6862,0,0,0
1.2.1.,2020-01,938,1471547,450669,129849,42318,13304,948,43570,35657,123470,15038,0,2017,0
1.2.2.,2020-01,28266,36785778,12599068,8256107,2248077,4808573,45300,1690600,1366442,4098917,437620,0,3701,0
1.2.3.,2020-01,2337,2798661,830107,268149,13898,18420,1446,120797,116484,266566,45287,0,0,0
1.3.,2020-01,5247,7262882,2209378,782242,42628,13240,148,295086,285739,613802,94655,0,650,35364
2.1.,2020-01,5551,7773220,1696467,693698,224245,125683,7365,271830,306109,613698,64661,0,877,0
2.2.,2020-01,45,63096,14025,5033,41,564,11,3282,580,4251,0,0,0,0
3.1.,2020-01,78624,93686765,16381123,7990171,5690196,439485,10920,3414396,3242727,7684250,1136887,0,18753,77586
3.10.,2020-01,344,401651,76910,47472,10220,10757,0,15606,10546,37052,1145,0,975,0
3.11.,2020-01,726,841175,185200,409928,9082,55772,1881,19551,31150,92297,13851,0,0,0
3.15.,2020-01,1051,1828604,414412,153779,61896,10894,1989,75689,73731,132222,2804,0,0,0
3.2.,2020-01,41610,52325639,13658974,8472592,1334037,8231320,14181,2241281,2246732,5374905,722147,0,4308,1320252
3.3.,2020-01,14460,12808687,3009450,2896552,192392,114842,2551,733994,857828,1503285,648369,0,1646,701
3.4.,2020-01,7452,10718052,2028640,1260199,102074,64031,6668,356002,281985,925781,182036,0,1338,0
3.5.,2020-01,3326,5297876,1111656,448724,83295,73876,6789,117652,90643,414023,43934,0,7059,367
3.6.,2020-01,1668,2143298,492010,205689,12851,11384,2065,62095,61657,223913,655802,0,1263,0
3.7.,2020-01,302,409149,90223,35123,5993,291,521,16754,8280,36921,442,0,0,0
3.9.,2020-01,235,343853,67723,21339,5854,2025,172,8922,12932,28559,210,0,0,0
4.1.,2020-01,2891,3938917,966161,345497,45182,17057,2824,159087,167386,366250,30915,0,525,0
4.2.,2020-01,290,446466,102004,38805,19474,593,180,11801,10172,36432,2516,0,0,0
4.3.,2020-01,119,170298,39637,15786,2362,5337,261,9748,6263,14886,0,0,0,0
6.1.,2020-01,44,55969,10606,8451,1298,0,0,1818,36,4118,0,0,0,0
